panel,element,field,expected,actual,verdict
"talent-frame","TalentFrame/Texture#4","anchor","BOTTOMRIGHT|||2|-1","TOPLEFT|TalentFrame|TOPLEFT|258|-257","DELTA"
"talent-frame","TalentFrame/Texture#4","texture-path","Interface\TalentFrame\UI-TalentFrame-BotRight.blp||","Interface\TalentFrame\UI-TalentFrame-BotRight.blp||","PASS"
"talent-frame","TalentFrame/Texture#4","font","|","|","PASS"
"talent-frame","TalentFrame/Texture#4","color","","#FFFFFFFF","DELTA"
"talent-frame","TalentFrame/Texture#4","layer","|BORDER","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"talent-frame","TalentFrameBackgroundBottomLeft","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"talent-frame","TalentFrameBackgroundBottomLeft","presence","PRESENT","PRESENT","PASS"
"talent-frame","TalentFrameBackgroundBottomLeft","geometry","23|333|256|128","23|333|256|128","PASS"
"talent-frame","TalentFrameBackgroundBottomLeft","anchor","TOPLEFT|TalentFrameBackgroundTopLeft|BOTTOMLEFT|0|0","TOPLEFT|TalentFrame|TOPLEFT|23|-333","DELTA"
"talent-frame","TalentFrameBackgroundBottomLeft","texture-path","||","Interface\TalentFrame\WarriorArms-BottomLeft.blp||","DELTA"
"talent-frame","TalentFrameBackgroundBottomLeft","font","|","|","PASS"
"talent-frame","TalentFrameBackgroundBottomLeft","color","","#FFFFFFFF","DELTA"
"talent-frame","TalentFrameBackgroundBottomLeft","layer","|ARTWORK","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"talent-frame","TalentFrameBackgroundBottomRight","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"talent-frame","TalentFrameBackgroundBottomRight","presence","PRESENT","PRESENT","PASS"
"talent-frame","TalentFrameBackgroundBottomRight","geometry","279|333|64|128","279|333|64|128","PASS"
"talent-frame","TalentFrameBackgroundBottomRight","anchor","TOPLEFT|TalentFrameBackgroundTopLeft|BOTTOMRIGHT|0|0","TOPLEFT|TalentFrame|TOPLEFT|279|-333","DELTA"
"talent-frame","TalentFrameBackgroundBottomRight","texture-path","||","Interface\TalentFrame\WarriorArms-BottomRight.blp||","DELTA"
"talent-frame","TalentFrameBackgroundBottomRight","font","|","|","PASS"
"talent-frame","TalentFrameBackgroundBottomRight","color","","#FFFFFFFF","DELTA"
"talent-frame","TalentFrameBackgroundBottomRight","layer","|ARTWORK","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"talent-frame","TalentFrameBackgroundTopLeft","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"talent-frame","TalentFrameBackgroundTopLeft","presence","PRESENT","PRESENT","PASS"
"talent-frame","TalentFrameBackgroundTopLeft","geometry","23|77|256|256","23|77|256|256","PASS"
"talent-frame","TalentFrameBackgroundTopLeft","anchor","TOPLEFT|||23|-77","TOPLEFT|TalentFrame|TOPLEFT|23|-77","DELTA"
"talent-frame","TalentFrameBackgroundTopLeft","texture-path","||","Interface\TalentFrame\WarriorArms-TopLeft.blp||","DELTA"
"talent-frame","TalentFrameBackgroundTopLeft","font","|","|","PASS"
"talent-frame","TalentFrameBackgroundTopLeft","color","","#FFFFFFFF","DELTA"
"talent-frame","TalentFrameBackgroundTopLeft","layer","|ARTWORK","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
