panel,element,field,expected,actual,verdict
"game-menu","GameMenuFrame/FontString","texture-path","||","||","PASS"
"game-menu","GameMenuFrame/FontString","font","GameFontNormal|12","GameFontNormal|12","PASS"
"game-menu","GameMenuFrame/FontString","color","#FFD100FF","#FFD100FF","PASS"
"game-menu","GameMenuFrame/FontString","layer","DIALOG|ARTWORK","DIALOG|ARTWORK","PASS"
"game-menu","GameMenuFrameHeader","presence","PRESENT","PRESENT","PASS"
"game-menu","GameMenuFrameHeader","geometry","-30.5|-12|256|64","-30.5|-12|256|64","PASS"
"game-menu","GameMenuFrameHeader","anchor","TOP|||0|12","TOP|||0|12","PASS"
"game-menu","GameMenuFrameHeader","texture-path","Interface\DialogFrame\UI-DialogBox-Header.blp||","Interface\DialogFrame\UI-DialogBox-Header.blp||","PASS"
"game-menu","GameMenuFrameHeader","font","|","|","PASS"
"game-menu","GameMenuFrameHeader","color","","","PASS"
"game-menu","GameMenuFrameHeader","layer","DIALOG|ARTWORK","DIALOG|ARTWORK","PASS"
