panel,element,field,expected,actual,verdict
"spellbook","SpellBookFrame/Texture#5","anchor","BOTTOMRIGHT||||","TOPLEFT|SpellBookFrame|TOPLEFT|256|-256","DELTA"
"spellbook","SpellBookFrame/Texture#5","texture-path","Interface\Spellbook\UI-SpellbookPanel-BotRight.blp||","Interface\Spellbook\UI-SpellbookPanel-BotRight.blp||","PASS"
"spellbook","SpellBookFrame/Texture#5","font","|","|","PASS"
"spellbook","SpellBookFrame/Texture#5","color","","#FFFFFFFF","DELTA"
"spellbook","SpellBookFrame/Texture#5","layer","|ARTWORK","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
"spellbook","SpellBookFrameTabButton1","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookFrameTabButton1","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookFrameTabButton1/DisabledTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookFrameTabButton1/DisabledTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookFrameTabButton1/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookFrameTabButton1/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookFrameTabButton1/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookFrameTabButton1/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookFrameTabButton2","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookFrameTabButton2","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookFrameTabButton2/DisabledTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookFrameTabButton2/DisabledTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookFrameTabButton2/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookFrameTabButton2/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookFrameTabButton2/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookFrameTabButton2/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookFrameTabButton3","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookFrameTabButton3","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookFrameTabButton3/DisabledTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookFrameTabButton3/DisabledTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookFrameTabButton3/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookFrameTabButton3/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookFrameTabButton3/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookFrameTabButton3/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookNextPageButton","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookNextPageButton","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookNextPageButton/DisabledTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookNextPageButton/DisabledTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookNextPageButton/FontString","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookNextPageButton/FontString","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookNextPageButton/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookNextPageButton/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookNextPageButton/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookNextPageButton/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookNextPageButton/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookNextPageButton/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookPageText","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookPageText","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookPrevPageButton","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookPrevPageButton","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookPrevPageButton/DisabledTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookPrevPageButton/DisabledTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookPrevPageButton/FontString","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookPrevPageButton/FontString","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookPrevPageButton/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookPrevPageButton/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookPrevPageButton/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookPrevPageButton/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookPrevPageButton/PushedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookPrevPageButton/PushedTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookSkillLineTab1","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookSkillLineTab1","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookSkillLineTab1/CheckedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookSkillLineTab1/CheckedTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookSkillLineTab1/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookSkillLineTab1/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookSkillLineTab1/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookSkillLineTab1/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookSkillLineTab1/Texture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookSkillLineTab1/Texture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookSkillLineTab2","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookSkillLineTab2","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookSkillLineTab2/CheckedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookSkillLineTab2/CheckedTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookSkillLineTab2/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookSkillLineTab2/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookSkillLineTab2/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookSkillLineTab2/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookSkillLineTab2/Texture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookSkillLineTab2/Texture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookSkillLineTab3","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookSkillLineTab3","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookSkillLineTab3/CheckedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookSkillLineTab3/CheckedTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookSkillLineTab3/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookSkillLineTab3/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookSkillLineTab3/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookSkillLineTab3/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookSkillLineTab3/Texture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookSkillLineTab3/Texture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookSkillLineTab4","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookSkillLineTab4","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookSkillLineTab4/CheckedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookSkillLineTab4/CheckedTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookSkillLineTab4/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookSkillLineTab4/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookSkillLineTab4/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookSkillLineTab4/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookSkillLineTab4/Texture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookSkillLineTab4/Texture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookSkillLineTab5","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookSkillLineTab5","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookSkillLineTab5/CheckedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookSkillLineTab5/CheckedTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookSkillLineTab5/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookSkillLineTab5/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookSkillLineTab5/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookSkillLineTab5/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookSkillLineTab5/Texture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookSkillLineTab5/Texture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookSkillLineTab6","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookSkillLineTab6","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookSkillLineTab6/CheckedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookSkillLineTab6/CheckedTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookSkillLineTab6/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookSkillLineTab6/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookSkillLineTab6/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookSkillLineTab6/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookSkillLineTab6/Texture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookSkillLineTab6/Texture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookSkillLineTab7","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookSkillLineTab7","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookSkillLineTab7/CheckedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookSkillLineTab7/CheckedTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookSkillLineTab7/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookSkillLineTab7/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookSkillLineTab7/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookSkillLineTab7/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookSkillLineTab7/Texture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookSkillLineTab7/Texture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookSkillLineTab8","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookSkillLineTab8","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookSkillLineTab8/CheckedTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookSkillLineTab8/CheckedTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookSkillLineTab8/HighlightTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookSkillLineTab8/HighlightTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookSkillLineTab8/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookSkillLineTab8/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookSkillLineTab8/Texture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"spellbook","SpellBookSkillLineTab8/Texture","presence","PRESENT","ABSENT","DELTA"
"spellbook","SpellBookTitleText","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
