panel,element,field,expected,actual,verdict
"minimap","MinimapCluster","color","","","PASS"
"minimap","MinimapCluster","layer","BACKGROUND|","BACKGROUND|","PASS"
"minimap","MinimapToggleButton","presence","PRESENT","PRESENT","PASS"
"minimap","MinimapToggleButton","geometry","161|-3|32|32","161|-3|32|32","PASS"
"minimap","MinimapToggleButton","anchor","CENTER||TOPRIGHT|-15|-13","CENTER||TOPRIGHT|-15|-13","PASS"
"minimap","MinimapToggleButton","texture-path","Interface\Buttons\UI-Panel-MinimizeButton-Up.blp||","Interface\Buttons\UI-Panel-MinimizeButton-Up.blp||","PASS"
"minimap","MinimapToggleButton","font","|","|","PASS"
"minimap","MinimapToggleButton","color","","","PASS"
"minimap","MinimapToggleButton","layer","BACKGROUND|","BACKGROUND|","PASS"
"minimap","MinimapToggleButton/NormalTexture","presence","PRESENT","PRESENT","PASS"
"minimap","MinimapToggleButton/NormalTexture","geometry","161|-3|32|32","161|-3|32|32","PASS"
"minimap","MinimapToggleButton/NormalTexture","anchor","||||","||||","PASS"
"minimap","MinimapToggleButton/NormalTexture","texture-path","Interface\Buttons\UI-Panel-MinimizeButton-Up.blp||","Interface\Buttons\UI-Panel-MinimizeButton-Up.blp||","PASS"
"minimap","MinimapToggleButton/NormalTexture","font","|","|","PASS"
"minimap","MinimapToggleButton/NormalTexture","color","","","PASS"
"minimap","MinimapToggleButton/NormalTexture","layer","BACKGROUND|","BACKGROUND|","PASS"
"minimap","MinimapZoneText","presence","PRESENT","PRESENT","PASS"
"minimap","MinimapZoneText","geometry","29|7|128|12","29|7|128|12","PASS"
"minimap","MinimapZoneText","anchor","TOP||||","TOP||||","PASS"
"minimap","MinimapZoneText","texture-path","||","||","PASS"
"minimap","MinimapZoneText","font","GameFontNormal|12","GameFontNormal|12","PASS"
"minimap","MinimapZoneText","color","#FFD100FF","#FFD100FF","PASS"
"minimap","MinimapZoneText","layer","BACKGROUND|BACKGROUND","BACKGROUND|BACKGROUND","PASS"
"minimap","MinimapZoneTextButton","presence","PRESENT","PRESENT","PASS"
"minimap","MinimapZoneTextButton","geometry","29|7|128|12","29|7|128|12","PASS"
"minimap","MinimapZoneTextButton","anchor","CENTER|||-3|83","CENTER|||-3|83","PASS"
"minimap","MinimapZoneTextButton","texture-path","||","||","PASS"
"minimap","MinimapZoneTextButton","font","|","|","PASS"
"minimap","MinimapZoneTextButton","color","","","PASS"
"minimap","MinimapZoneTextButton","layer","BACKGROUND|","BACKGROUND|","PASS"
"minimap","MinimapZoomIn","presence","PRESENT","PRESENT","PASS"
"minimap","MinimapZoomIn","geometry","157|113|32|32","157|113|32|32","PASS"
"minimap","MinimapZoomIn","anchor","CENTER|||77|-13","CENTER|||77|-13","PASS"
"minimap","MinimapZoomIn","texture-path","Interface\Minimap\UI-Minimap-ZoomInButton-Up.blp||","Interface\Minimap\UI-Minimap-ZoomInButton-Up.blp||","PASS"
"minimap","MinimapZoomIn","font","|","|","PASS"
"minimap","MinimapZoomIn","color","","","PASS"
"minimap","MinimapZoomIn","layer","BACKGROUND|","BACKGROUND|","PASS"
"minimap","MinimapZoomIn/NormalTexture","presence","PRESENT","PRESENT","PASS"
"minimap","MinimapZoomIn/NormalTexture","geometry","157|113|32|32","157|113|32|32","PASS"
"minimap","MinimapZoomIn/NormalTexture","anchor","||||","||||","PASS"
"minimap","MinimapZoomIn/NormalTexture","texture-path","Interface\Minimap\UI-Minimap-ZoomInButton-Up.blp||","Interface\Minimap\UI-Minimap-ZoomInButton-Up.blp||","PASS"
"minimap","MinimapZoomIn/NormalTexture","font","|","|","PASS"
"minimap","MinimapZoomIn/NormalTexture","color","","","PASS"
"minimap","MinimapZoomIn/NormalTexture","layer","BACKGROUND|","BACKGROUND|","PASS"
"minimap","MinimapZoomOut","presence","PRESENT","PRESENT","PASS"
"minimap","MinimapZoomOut","geometry","131|141|32|32","131|141|32|32","PASS"
"minimap","MinimapZoomOut","anchor","CENTER|||51|-41","CENTER|||51|-41","PASS"
"minimap","MinimapZoomOut","texture-path","Interface\Minimap\UI-Minimap-ZoomOutButton-Up.blp||","Interface\Minimap\UI-Minimap-ZoomOutButton-Up.blp||","PASS"
"minimap","MinimapZoomOut","font","|","|","PASS"
"minimap","MinimapZoomOut","color","","","PASS"
"minimap","MinimapZoomOut","layer","BACKGROUND|","BACKGROUND|","PASS"
"minimap","MinimapZoomOut/NormalTexture","presence","PRESENT","PRESENT","PASS"
"minimap","MinimapZoomOut/NormalTexture","geometry","131|141|32|32","131|141|32|32","PASS"
"minimap","MinimapZoomOut/NormalTexture","anchor","||||","||||","PASS"
"minimap","MinimapZoomOut/NormalTexture","texture-path","Interface\Minimap\UI-Minimap-ZoomOutButton-Up.blp||","Interface\Minimap\UI-Minimap-ZoomOutButton-Up.blp||","PASS"
"minimap","MinimapZoomOut/NormalTexture","font","|","|","PASS"
"minimap","MinimapZoomOut/NormalTexture","color","","","PASS"
"minimap","MinimapZoomOut/NormalTexture","layer","BACKGROUND|","BACKGROUND|","PASS"
