panel,element,field,expected,actual,verdict
"trainer","ClassTrainerCollapseAllButton/DisabledTexture","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerCollapseAllButton/NormalTexture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerCollapseAllButton/NormalTexture","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerCollapseAllButtonHighlight","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerCollapseAllButtonHighlight","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerCollapseAllButtonSubText","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerCollapseAllButtonSubText","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerExpandButtonFrame","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerExpandButtonFrame","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerExpandButtonFrame/Texture","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerExpandButtonFrame/Texture","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerExpandTabLeft","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerExpandTabLeft","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerExpandTabMiddle","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"trainer","ClassTrainerExpandTabMiddle","presence","PRESENT","ABSENT","DELTA"
"trainer","ClassTrainerFrame","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"trainer","ClassTrainerFrame","presence","PRESENT","PRESENT","PASS"
"trainer","ClassTrainerFrame","geometry","0|0|384|512","0|0|384|512","PASS"
"trainer","ClassTrainerFrame","anchor","TOPLEFT|||0|-104","ANCHOR:ABSOLUTE|||0|8","DELTA"
"trainer","ClassTrainerFrame","texture-path","||","||","PASS"
"trainer","ClassTrainerFrame","font","|","|","PASS"
"trainer","ClassTrainerFrame","color","","","PASS"
"trainer","ClassTrainerFrame","layer","|","IMGUI_WINDOW|IMGUI_HOST","DELTA"
"trainer","ClassTrainerFrame/Texture","coverage","DRAWN-INSTRUMENTED","DRAWN-INSTRUMENTED","PASS"
"trainer","ClassTrainerFrame/Texture","presence","PRESENT","PRESENT","PASS"
"trainer","ClassTrainerFrame/Texture","geometry","0|0|256|256","0|0|256|256","PASS"
"trainer","ClassTrainerFrame/Texture","anchor","TOPLEFT||||","TOPLEFT|ClassTrainerFrame|TOPLEFT|0|-0","DELTA"
"trainer","ClassTrainerFrame/Texture","texture-path","Interface\ClassTrainerFrame\UI-ClassTrainer-TopLeft.blp||","Interface\ClassTrainerFrame\UI-ClassTrainer-TopLeft.blp||","PASS"
"trainer","ClassTrainerFrame/Texture","font","|","|","PASS"
"trainer","ClassTrainerFrame/Texture","color","","#FFFFFFFF","DELTA"
"trainer","ClassTrainerFrame/Texture","layer","|BORDER","IMGUI_WINDOW|IMGUI_IMAGE","DELTA"
