frame,t,dt,posX,posY,posZ,velX,velY,velZ,horizSpeed,aimYaw,bodyYaw,inputFlags,grounded,verticalVel,fallTimeMs,clipId,clipName,clipTime,playbackRate,lastAnimChoice,wireSentThisTick
51,0.850000,0.016667,-8947.391,-128.12186,83.42476,0,0,0,7.0000005,2.0420403,2.0420403,fwd|turnL,true,0,0,5,Run,0.8735995,1.008,5->5:Exact,NONE
52,0.866667,0.016667,-8947.447,-128.02007,83.41962,0,0,0,7,2.0813107,2.0813107,fwd|turnL,true,0,0,5,Run,0.8903995,1.008,5->5:Exact,NONE
53,0.883333,0.016667,-8947.508,-127.92059,83.414505,0,0,0,7.0000005,2.1205812,2.1205812,fwd|turnL,true,0,0,5,Run,0.9071995,1.008,5->5:Exact,NONE
54,0.900000,0.016667,-8947.572,-127.823586,83.40941,0,0,0,7.0000005,2.1598516,2.1598516,fwd|turnL,true,0,0,5,Run,0.9239995,1.008,5->5:Exact,NONE
55,0.916667,0.016667,-8947.641,-127.7292,83.40436,0,0,0,7,2.199122,2.199122,fwd|turnL,true,0,0,5,Run,0.9407995,1.008,5->5:Exact,NONE
56,0.933333,0.016667,-8947.713,-127.63758,83.39937,0,0,0,7,2.2383924,2.2383924,fwd|turnL,true,0,0,5,Run,0.95759946,1.008,5->5:Exact,NONE
57,0.950000,0.016667,-8947.789,-127.54887,83.39442,0,0,0,7.0000005,2.2776628,2.2776628,fwd|turnL,true,0,0,5,Run,0.97439945,1.008,5->5:Exact,NONE
58,0.966667,0.016667,-8947.868,-127.463196,83.38959,0,0,0,6.9999995,2.3169332,2.3169332,fwd|turnL,true,0,0,5,Run,0.99119943,1.0079999,5->5:Exact,NONE
59,0.983333,0.016667,-8947.95,-127.3807,83.38486,0,0,0,7,2.3562036,2.3562036,fwd|turnL,true,0,0,5,Run,1.0079994,1.008,5->5:Exact,NONE
60,1.000000,0.016667,-8948.036,-127.301506,83.3802,0,0,0,6.9999995,2.395474,2.395474,fwd|turnL,true,0,0,5,Run,1.0247995,1.0079999,5->5:Exact,NONE
61,1.016667,0.016667,-8948.125,-127.22574,83.375656,0,0,0,7,2.4347444,2.4347444,fwd|turnL,true,0,0,5,Run,1.0415995,1.008,5->5:Exact,NONE
