frame,t,dt,posX,posY,posZ,velX,velY,velZ,horizSpeed,aimYaw,bodyYaw,inputFlags,grounded,verticalVel,fallTimeMs,clipId,clipName,clipTime,playbackRate,lastAnimChoice,wireSentThisTick
101,1.683333,0.016667,-8941.583,-140.90688,83.53978,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.7136014,1.008,5->5:Exact,NONE
102,1.700000,0.016667,-8941.501,-140.98936,83.53293,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.7304014,1.008,5->5:Exact,NONE
103,1.716667,0.016667,-8941.419,-141.07185,83.52609,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.7472014,1.008,5->5:Exact,NONE
104,1.733333,0.016667,-8941.337,-141.15434,83.51927,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.7640015,1.008,5->5:Exact,NONE
105,1.750000,0.016667,-8941.255,-141.23683,83.51245,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.7808015,1.008,5->5:Exact,NONE
106,1.766667,0.016667,-8941.173,-141.31932,83.505646,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.7976016,1.008,5->5:Exact,NONE
107,1.783333,0.016667,-8941.091,-141.40181,83.49884,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.8144016,1.008,5->5:Exact,NONE
108,1.800000,0.016667,-8941.009,-141.4843,83.49205,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.8312017,1.008,5->5:Exact,NONE
109,1.816667,0.016667,-8940.927,-141.56679,83.48526,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.8480017,1.008,5->5:Exact,NONE
110,1.833333,0.016667,-8940.845,-141.64928,83.47849,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.8648018,1.008,5->5:Exact,NONE
111,1.850000,0.016667,-8940.763,-141.73177,83.46963,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.8816018,1.008,5->5:Exact,NONE
112,1.866667,0.016667,-8940.681,-141.81425,83.46021,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.8984019,1.008,5->5:Exact,NONE
113,1.883333,0.016667,-8940.599,-141.89674,83.45081,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.9152019,1.008,5->5:Exact,NONE
114,1.900000,0.016667,-8940.517,-141.97923,83.44143,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.932002,1.008,5->5:Exact,NONE
115,1.916667,0.016667,-8940.435,-142.06172,83.432045,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.948802,1.008,5->5:Exact,NONE
116,1.933333,0.016667,-8940.353,-142.14421,83.422676,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.965602,1.008,5->5:Exact,NONE
117,1.950000,0.016667,-8940.2705,-142.2267,83.41332,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.9824021,1.008,5->5:Exact,NONE
118,1.966667,0.016667,-8940.188,-142.30919,83.403984,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,1.9992021,1.008,5->5:Exact,NONE
119,1.983333,0.016667,-8940.106,-142.39168,83.39465,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,2.0160022,1.008,5->5:Exact,NONE
120,2.000000,0.016667,-8940.024,-142.47417,83.38533,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,2.032802,1.008,5->5:Exact,NONE
121,2.016667,0.016667,-8939.942,-142.55666,83.37601,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,2.049602,1.008,5->5:Exact,NONE
122,2.033333,0.016667,-8939.86,-142.63914,83.36672,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,2.066402,1.008,5->5:Exact,NONE
123,2.050000,0.016667,-8939.778,-142.72163,83.35744,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,2.083202,1.008,5->5:Exact,NONE
124,2.066667,0.016667,-8939.696,-142.80412,83.34816,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,2.1000018,1.008,5->5:Exact,NONE
125,2.083333,0.016667,-8939.614,-142.88661,83.3389,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,2.1168017,1.008,5->5:Exact,NONE
126,2.100000,0.016667,-8939.532,-142.9691,83.32965,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,2.1336017,1.008,5->5:Exact,NONE
127,2.116667,0.016667,-8939.45,-143.05159,83.32042,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,2.1504016,1.008,5->5:Exact,NONE
128,2.133333,0.016667,-8939.368,-143.13408,83.31119,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,2.1672015,1.008,5->5:Exact,NONE
129,2.150000,0.016667,-8939.286,-143.21657,83.30197,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,2.1840014,1.008,5->5:Exact,NONE
130,2.166667,0.016667,-8939.204,-143.29906,83.29276,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,2.2008014,1.008,5->5:Exact,NONE
131,2.183333,0.016667,-8939.122,-143.38155,83.28357,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,2.2176013,1.008,5->5:Exact,NONE
132,2.200000,0.016667,-8939.04,-143.46404,83.27438,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,2.2344012,1.008,5->5:Exact,NONE
133,2.216667,0.016667,-8938.958,-143.54652,83.26522,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,2.2512012,1.008,5->5:Exact,NONE
134,2.233333,0.016667,-8938.876,-143.62901,83.25606,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,2.268001,1.008,5->5:Exact,NONE
135,2.250000,0.016667,-8938.794,-143.7115,83.24692,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,2.284801,1.008,5->5:Exact,NONE
136,2.266667,0.016667,-8938.712,-143.79399,83.23777,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,2.301601,1.008,5->5:Exact,NONE
137,2.283333,0.016667,-8938.63,-143.87648,83.22865,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,2.3184009,1.008,5->5:Exact,NONE
138,2.300000,0.016667,-8938.548,-143.95897,83.219536,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,2.3352008,1.008,5->5:Exact,NONE
139,2.316667,0.016667,-8938.466,-144.04146,83.21044,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,2.3520007,1.008,5->5:Exact,NONE
140,2.333333,0.016667,-8938.384,-144.12395,83.201355,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,2.3688006,1.008,5->5:Exact,NONE
141,2.350000,0.016667,-8938.302,-144.20644,83.192276,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,2.3856006,1.008,5->5:Exact,NONE
142,2.366667,0.016667,-8938.22,-144.28893,83.183205,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,2.4024005,1.008,5->5:Exact,NONE
143,2.383333,0.016667,-8938.138,-144.37141,83.17416,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,2.4192004,1.008,5->5:Exact,NONE
144,2.400000,0.016667,-8938.056,-144.4539,83.165115,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,2.4360003,1.008,5->5:Exact,NONE
145,2.416667,0.016667,-8937.974,-144.53639,83.156075,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,2.4528003,1.008,5->5:Exact,NONE
146,2.433333,0.016667,-8937.892,-144.61888,83.14706,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,2.4696002,1.008,5->5:Exact,NONE
147,2.450000,0.016667,-8937.81,-144.70137,83.138054,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,2.4864001,1.008,5->5:Exact,NONE
148,2.466667,0.016667,-8937.728,-144.78386,83.12905,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,2.5032,1.008,5->5:Exact,NONE
149,2.483333,0.016667,-8937.6455,-144.86635,83.12007,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,2.52,1.008,5->5:Exact,NONE
150,2.500000,0.016667,-8937.563,-144.94884,83.1111,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,2.5368,1.008,5->5:Exact,NONE
151,2.516667,0.016667,-8937.481,-145.03133,83.10168,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,2.5535998,1.008,5->5:Exact,NONE
152,2.533333,0.016667,-8937.399,-145.11382,83.09067,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,2.5703998,1.008,5->5:Exact,NONE
153,2.550000,0.016667,-8937.317,-145.1963,83.079636,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,2.5871997,1.008,5->5:Exact,NONE
154,2.566667,0.016667,-8937.235,-145.2788,83.06857,0,0,0,7,0,-0.78539705,fwd|strafeR,true,0,0,5,Run,2.6039996,1.008,5->5:Exact,NONE
