frame,t,dt,posX,posY,posZ,velX,velY,velZ,horizSpeed,aimYaw,bodyYaw,inputFlags,grounded,verticalVel,fallTimeMs,clipId,clipName,clipTime,playbackRate,lastAnimChoice,wireSentThisTick
48,0.800000,0.016667,-8953.635,-132.493,83.25647,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,1.4699991,1.8,13->13:Exact,NONE
49,0.816667,0.016667,-8953.71,-132.493,83.25087,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,1.499999,1.8,13->13:Exact,NONE
50,0.833333,0.016667,-8953.785,-132.493,83.245255,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,1.529999,1.8,13->13:Exact,NONE
51,0.850000,0.016667,-8953.86,-132.493,83.239655,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,1.559999,1.8,13->13:Exact,NONE
52,0.866667,0.016667,-8953.936,-132.493,83.23405,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,1.589999,1.8,13->13:Exact,NONE
53,0.883333,0.016667,-8954.011,-132.493,83.22844,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,1.6199989,1.8,13->13:Exact,NONE
54,0.900000,0.016667,-8954.086,-132.493,83.22284,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,1.6499989,1.8,13->13:Exact,NONE
55,0.916667,0.016667,-8954.161,-132.493,83.21723,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,1.6799989,1.8,13->13:Exact,NONE
56,0.933333,0.016667,-8954.236,-132.493,83.21098,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,1.7099988,1.8,13->13:Exact,NONE
57,0.950000,0.016667,-8954.312,-132.493,83.20469,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,1.7399988,1.8,13->13:Exact,NONE
58,0.966667,0.016667,-8954.387,-132.493,83.198395,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,1.7699988,1.8,13->13:Exact,NONE
59,0.983333,0.016667,-8954.462,-132.493,83.192085,0,0,0,4.5,0,0,back,true,0,0,13,WalkBackwards,1.7999988,1.8,13->13:Exact,NONE
