"expected_animation_id","spell_id","name","rank","cell","actual_stage","requested_animation_id","played_animation_id","resolution","asset_sources","evidence_directory"
"-1","10053","Conjure Mana Citrine","","MOVING","SETTLE","54","54","Exact","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-080-099-final"
"-1","10053","Conjure Mana Citrine","","STANDING","SETTLE","54","54","Exact","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-080-099-v2"
"-1","10054","Conjure Mana Ruby","","MOVING","SETTLE","-1","-1","Missing","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-100-119-final"
"-1","10054","Conjure Mana Ruby","","STANDING","SETTLE","9","9","Exact","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-100-119-v3"
"-1","10138","Conjure Water","Rank 5","MOVING","SETTLE","-1","-1","Missing","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-100-119-final"
"-1","10138","Conjure Water","Rank 5","STANDING","SETTLE","124","124","BakedOnDemand","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-100-119-v3"
"-1","10139","Conjure Water","Rank 6","MOVING","SETTLE","-1","-1","Missing","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-103-retry"
"-1","10139","Conjure Water","Rank 6","STANDING","SETTLE","124","124","BakedOnDemand","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-100-119-v3"
"-1","10140","Conjure Water","Rank 7","MOVING","SETTLE","-1","-1","Missing","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-100-119-final"
"-1","10140","Conjure Water","Rank 7","STANDING","SETTLE","124","124","BakedOnDemand","","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-100-119-v3"
"-1","10144","Conjure Food","Rank 5","MOVING","SETTLE","-1","-1","Missing","patch.MPQ:Spells\ConjureItemCast.m2|patch.MPQ:Spells\ConjureItemCast.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-100-119-final"
"-1","10144","Conjure Food","Rank 5","STANDING","SETTLE","124","124","BakedOnDemand","patch.MPQ:Spells\ConjureItemCast.m2|patch.MPQ:Spells\ConjureItemCast.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-100-119-v3"
"-1","10145","Conjure Food","Rank 6","MOVING","SETTLE","-1","-1","Missing","patch.MPQ:Spells\ConjureItemCast.m2|patch.MPQ:Spells\ConjureItemCast.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\moving-100-119-final"
"-1","10145","Conjure Food","Rank 6","STANDING","SETTLE","124","124","BakedOnDemand","patch.MPQ:Spells\ConjureItemCast.m2|patch.MPQ:Spells\ConjureItemCast.m2","C:\Users\nico\source\repos\MSUIClient\live-runs\N3-0-3-mage-20260801-195500\standing-100-119-v3"
