panel,element,field,expected,actual,verdict
"buff-frame","BuffButton8","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton8","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton8Count","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton8Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton8Duration","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton8Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton8Icon","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton8Icon","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton9","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton9","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton9Count","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton9Count","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton9Duration","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton9Duration","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffButton9Icon","coverage","DRAWN-INSTRUMENTED","NOT-DRAWN","DELTA"
"buff-frame","BuffButton9Icon","presence","PRESENT","ABSENT","DELTA"
"buff-frame","BuffFrame","coverage","DRAWN-INSTRUMENTED","DRAWN-NOT-INSTRUMENTED","DELTA"
"buff-frame","BuffFrame","presence","PRESENT","PRESENT","PASS"
