key,kind,displayId,modelPath,outcome,cameraSource,authoredRetried,subjectPx,rgbLo,rgbHi,alphaLo,alphaHi,meanLuma,pieces,bindPoseHeight,eyeHeight,distance,fovyDeg,nearPlane,elapsedMs,note
creature:5408,creature,5408,Character\Dwarf\Female\DwarfFemale.m2,Ready,Authored,false,41553,0,255,255,255,120.9438,-1,1.5408,0,0,27,0.2222,76.452,
creature:5409,creature,5409,Character\Dwarf\Male\DwarfMale.m2,Ready,Authored,false,53225,0,255,255,255,90.5029,-1,1.6754,0,0,27,0.2222,71.3657,
creature:5410,creature,5410,Character\Dwarf\Male\DwarfMale.m2,Ready,Authored,false,52193,0,255,255,255,134.0343,-1,1.6754,0,0,27,0.2222,77.8498,
creature:5425,creature,5425,Character\Gnome\Female\GnomeFemale.m2,Ready,Authored,false,40440,0,255,255,255,117.4567,-1,1.1753,0,0,27,0.2222,74.2385,
creature:5426,creature,5426,Character\Dwarf\Male\DwarfMale.m2,Ready,Authored,false,45370,0,255,255,255,88.8747,-1,1.6754,0,0,27,0.2222,71.0921,
creature:5427,creature,5427,Character\Gnome\Male\GnomeMale.m2,Ready,Authored,false,42476,0,255,255,255,131.7865,-1,1.1298,0,0,27.7333,0.2222,73.6332,
creature:5428,creature,5428,Character\Gnome\Male\GnomeMale.m2,Ready,Authored,false,42502,0,255,255,255,120.9144,-1,1.1298,0,0,27.7333,0.2222,104.6669,
creature:5429,creature,5429,Character\Human\Female\HumanFemale.m2,Ready,Authored,false,48183,0,255,255,255,31.9538,-1,1.9362,0,0,27,0.2222,79.3871,
creature:5430,creature,5430,Creature\Ghost\Ghost.m2,Ready,Authored,false,20731,10,203,255,255,34.1607,-1,3.0488,0,0,32.6593,0.2222,66.6375,
creature:5431,creature,5431,Creature\Zombie\ZombieArm.m2,Ready,Authored,false,38870,0,255,128,255,62.7531,-1,1.9632,0,0,27,0.2222,57.457,
creature:5432,creature,5432,Creature\Zombie\Zombie.m2,Ready,Authored,false,45574,0,255,128,255,62.639,-1,2.1361,0,0,27,0.2222,62.7977,
creature:5433,creature,5433,Character\Gnome\Male\GnomeMale.m2,Ready,Authored,false,43127,0,255,255,255,116.4324,-1,1.1298,0,0,27.7333,0.2222,76.1191,
creature:5434,creature,5434,Character\Dwarf\Male\DwarfMale.m2,Ready,Authored,false,52310,0,255,255,255,136.7664,-1,1.6754,0,0,27,0.2222,74.7008,
creature:5435,creature,5435,Character\Gnome\Female\GnomeFemale.m2,Ready,Authored,false,40034,0,255,255,255,143.6015,-1,1.1753,0,0,27,0.2222,88.8382,
creature:5436,creature,5436,Character\Gnome\Male\GnomeMale.m2,Ready,Authored,false,41601,0,255,255,255,135.5134,-1,1.1298,0,0,27.7333,0.2222,72.8659,
creature:5437,creature,5437,Character\Gnome\Male\GnomeMale.m2,Ready,Authored,false,41154,0,255,255,255,111.715,-1,1.1298,0,0,27.7333,0.2222,73.6905,
creature:5438,creature,5438,Character\Gnome\Male\GnomeMale.m2,Ready,Authored,false,42967,0,255,255,255,114.0253,-1,1.1298,0,0,27.7333,0.2222,75.4357,
creature:5439,creature,5439,Character\NightElf\Female\NightElfFemale.m2,Ready,Authored,false,39773,0,255,255,255,111.2181,-1,2.2775,0,0,27,0.2222,94.1201,
creature:5440,creature,5440,Character\NightElf\Male\NightElfMale.m2,Ready,Authored,false,52837,0,255,255,255,35.1891,-1,2.5748,0,0,26.282,0.2222,80.5431,
creature:5441,creature,5441,Character\NightElf\Female\NightElfFemale.m2,Ready,Authored,false,34182,0,255,255,255,119.9533,-1,2.2775,0,0,27,0.2222,106.4911,
creature:5442,creature,5442,Character\NightElf\Female\NightElfFemale.m2,Ready,Authored,false,40355,0,255,255,255,118.4679,-1,2.2775,0,0,27,0.2222,94.6602,
creature:5443,creature,5443,Character\Gnome\Male\GnomeMale.m2,Ready,Authored,false,41146,0,255,255,255,114.4445,-1,1.1298,0,0,27.7333,0.2222,74.885,
creature:5444,creature,5444,Character\Human\Female\HumanFemale.m2,Ready,Authored,false,46386,0,255,255,255,138.7303,-1,1.9362,0,0,27,0.2222,82.4947,
creature:5445,creature,5445,Character\Dwarf\Male\DwarfMale.m2,Ready,Authored,false,46159,0,255,255,255,93.6549,-1,1.6754,0,0,27,0.2222,70.1416,
creature:5446,creature,5446,Character\Human\Female\HumanFemale.m2,Ready,Authored,false,37356,5,255,255,255,115.1629,-1,1.9362,0,0,27,0.2222,78.1144,
creature:5447,creature,5447,Character\Scourge\Male\ScourgeMale.m2,Ready,Authored,false,48317,0,255,255,255,94.8024,-1,2.3614,0,0,27,0.2222,78.5281,
creature:5448,creature,5448,Creature\Cat\Cat.m2,Ready,Authored,false,38838,3,255,127,255,66.9464,-1,0.7709,0,0,32.6593,0.2222,63.4355,
creature:5449,creature,5449,Character\Scourge\Male\ScourgeMale.m2,Ready,Authored,false,42019,0,255,255,255,103.4516,-1,2.3614,0,0,27,0.2222,82.9989,
creature:5450,creature,5450,Creature\WaterElemental\WaterElemental.m2,Ready,Authored,false,54882,0,255,127,255,108.0733,-1,2.5345,0,0,32.6593,0.2222,66.613,
creature:5451,creature,5451,Character\Gnome\Male\GnomeMale.m2,Ready,Authored,false,41142,0,255,255,255,154.1344,-1,1.1298,0,0,27.7333,0.2222,74.0527,
creature:5465,creature,5465,Character\Dwarf\Male\DwarfMale.m2,Ready,Authored,false,46381,0,255,255,255,100.4589,-1,1.6754,0,0,27,0.2222,72.3109,
creature:5485,creature,5485,Character\Gnome\Male\GnomeMale.m2,Ready,Authored,false,39665,0,255,255,255,138.0061,-1,1.1298,0,0,27.7333,0.2222,72.2443,
creature:5486,creature,5486,Character\Tauren\Male\TaurenMale.m2,Ready,Authored,false,47479,0,255,255,255,73.057,-1,2.3821,0,0,22.5007,0.2222,79.5271,
creature:5487,creature,5487,Character\Tauren\Female\TaurenFemale.m2,Ready,Authored,false,47847,0,255,255,255,94.9708,-1,2.2327,0,0,26.282,0.2222,3401.7596,
