rowKey,key,axis,displayId,extraId,batchIndex,geosetId,region,textureType,resolvedTexture,effectiveTexture,supplier,customContent,demandedTexture,demandedSupplier,missingDemandedTexture,predicted7C2Texture,protocolRow,modelPath,modelSupplier,race,sex,skin,face,hairStyle,hairColor,facialHair,equipment,geosetsChosen,bakeTexture,bakeSupplier,helmDisplayId,helmSuffix,helmModel,helmSupplier,shoulderDisplayId,shoulderModels,shoulderSuppliers,attachmentStatus,capeTexture,charSectionsDupKey,charSectionsWinnerRow,outcome,subjectPx,meanLuma,elapsedMs,note
item:cape:61306,item:cape:61306,items,61306,0,-1,-1,cape,2,Item\ObjectComponents\Cape\Custom_61306_Cape_Mail_A_01Black.blp,Item\ObjectComponents\Cape\Custom_61306_Cape_Mail_A_01Black.blp,patch-4.MPQ,true,Item\ObjectComponents\Cape\Custom_61306_Cape_Mail_A_01Black.blp,patch-4.MPQ,false,NONE,,Character\Human\Male\HumanMale.m2,patch.MPQ,1,0,0,0,9,0,0,61306,0:0;0:10;1:1;2:1;3:1;4:1;5:1;7:2;13:1;15:2,NONE,NONE,0,HuM,NONE,NONE,0,NONE,NONE,cape-bound,Item\ObjectComponents\Cape\Custom_61306_Cape_Mail_A_01Black.blp,0,NONE,Ready,23454,38.199,160.965,
item:cape:61307,item:cape:61307,items,61307,0,-1,-1,cape,2,Item\ObjectComponents\Cape\Custom_61307_Cape_Mail_A_01Black.blp,Item\ObjectComponents\Cape\Custom_61307_Cape_Mail_A_01Black.blp,patch-4.MPQ,true,Item\ObjectComponents\Cape\Custom_61307_Cape_Mail_A_01Black.blp,patch-4.MPQ,false,NONE,,Character\Human\Male\HumanMale.m2,patch.MPQ,1,0,0,0,9,0,0,61307,0:0;0:10;1:1;2:1;3:1;4:1;5:1;7:2;13:1;15:2,NONE,NONE,0,HuM,NONE,NONE,0,NONE,NONE,cape-bound,Item\ObjectComponents\Cape\Custom_61307_Cape_Mail_A_01Black.blp,0,NONE,Ready,23454,38.7848,156.9593,
item:cape:61308,item:cape:61308,items,61308,0,-1,-1,cape,2,Item\ObjectComponents\Cape\Custom_61308_Cape_Mail_A_01Black.blp,Item\ObjectComponents\Cape\Custom_61308_Cape_Mail_A_01Black.blp,patch-4.MPQ,true,Item\ObjectComponents\Cape\Custom_61308_Cape_Mail_A_01Black.blp,patch-4.MPQ,false,NONE,,Character\Human\Male\HumanMale.m2,patch.MPQ,1,0,0,0,9,0,0,61308,0:0;0:10;1:1;2:1;3:1;4:1;5:1;7:2;13:1;15:2,NONE,NONE,0,HuM,NONE,NONE,0,NONE,NONE,cape-bound,Item\ObjectComponents\Cape\Custom_61308_Cape_Mail_A_01Black.blp,0,NONE,Ready,23454,39.1143,156.5636,
item:cape:61309,item:cape:61309,items,61309,0,-1,-1,cape,2,Item\ObjectComponents\Cape\Custom_61309_Cape_Mail_A_01Black.blp,Item\ObjectComponents\Cape\Custom_61309_Cape_Mail_A_01Black.blp,patch-4.MPQ,true,Item\ObjectComponents\Cape\Custom_61309_Cape_Mail_A_01Black.blp,patch-4.MPQ,false,NONE,,Character\Human\Male\HumanMale.m2,patch.MPQ,1,0,0,0,9,0,0,61309,0:0;0:10;1:1;2:1;3:1;4:1;5:1;7:2;13:1;15:2,NONE,NONE,0,HuM,NONE,NONE,0,NONE,NONE,cape-bound,Item\ObjectComponents\Cape\Custom_61309_Cape_Mail_A_01Black.blp,0,NONE,Ready,23454,39.5546,156.4805,
item:cape:61386,item:cape:61386,items,61386,0,-1,-1,cape,2,Item\ObjectComponents\Cape\Custom_61386_Cape_Leather_A_02Green.blp,Item\ObjectComponents\Cape\Custom_61386_Cape_Leather_A_02Green.blp,patch-4.MPQ,true,Item\ObjectComponents\Cape\Custom_61386_Cape_Leather_A_02Green.blp,patch-4.MPQ,false,NONE,,Character\Human\Male\HumanMale.m2,patch.MPQ,1,0,0,0,9,0,0,61386,0:0;0:10;1:1;2:1;3:1;4:1;5:1;7:2;13:1;15:2,NONE,NONE,0,HuM,NONE,NONE,0,NONE,NONE,cape-bound,Item\ObjectComponents\Cape\Custom_61386_Cape_Leather_A_02Green.blp,0,NONE,Ready,23454,53.9333,158.1148,
item:cape:61387,item:cape:61387,items,61387,0,-1,-1,cape,2,Item\ObjectComponents\Cape\Custom_61387_Cape_Leather_A_02Green.blp,Item\ObjectComponents\Cape\Custom_61387_Cape_Leather_A_02Green.blp,patch-4.MPQ,true,Item\ObjectComponents\Cape\Custom_61387_Cape_Leather_A_02Green.blp,patch-4.MPQ,false,NONE,,Character\Human\Male\HumanMale.m2,patch.MPQ,1,0,0,0,9,0,0,61387,0:0;0:10;1:1;2:1;3:1;4:1;5:1;7:2;13:1;15:2,NONE,NONE,0,HuM,NONE,NONE,0,NONE,NONE,cape-bound,Item\ObjectComponents\Cape\Custom_61387_Cape_Leather_A_02Green.blp,0,NONE,Ready,23454,54.3732,174.4677,
item:cape:61388,item:cape:61388,items,61388,0,-1,-1,cape,2,Item\ObjectComponents\Cape\Custom_61388_Cape_Leather_A_02Green.blp,Item\ObjectComponents\Cape\Custom_61388_Cape_Leather_A_02Green.blp,patch-4.MPQ,true,Item\ObjectComponents\Cape\Custom_61388_Cape_Leather_A_02Green.blp,patch-4.MPQ,false,NONE,,Character\Human\Male\HumanMale.m2,patch.MPQ,1,0,0,0,9,0,0,61388,0:0;0:10;1:1;2:1;3:1;4:1;5:1;7:2;13:1;15:2,NONE,NONE,0,HuM,NONE,NONE,0,NONE,NONE,cape-bound,Item\ObjectComponents\Cape\Custom_61388_Cape_Leather_A_02Green.blp,0,NONE,Ready,23454,54.1916,156.3846,
item:cape:61389,item:cape:61389,items,61389,0,-1,-1,cape,2,Item\ObjectComponents\Cape\Custom_61389_Cape_Leather_A_02Green.blp,Item\ObjectComponents\Cape\Custom_61389_Cape_Leather_A_02Green.blp,patch-4.MPQ,true,Item\ObjectComponents\Cape\Custom_61389_Cape_Leather_A_02Green.blp,patch-4.MPQ,false,NONE,,Character\Human\Male\HumanMale.m2,patch.MPQ,1,0,0,0,9,0,0,61389,0:0;0:10;1:1;2:1;3:1;4:1;5:1;7:2;13:1;15:2,NONE,NONE,0,HuM,NONE,NONE,0,NONE,NONE,cape-bound,Item\ObjectComponents\Cape\Custom_61389_Cape_Leather_A_02Green.blp,0,NONE,Ready,23454,57.8793,155.2157,
item:cape:61472,item:cape:61472,items,61472,0,-1,-1,cape,2,Item\ObjectComponents\Cape\Custom_61472_Cape_Leather_A_02Blue.blp,Item\ObjectComponents\Cape\Custom_61472_Cape_Leather_A_02Blue.blp,patch-4.MPQ,true,Item\ObjectComponents\Cape\Custom_61472_Cape_Leather_A_02Blue.blp,patch-4.MPQ,false,NONE,,Character\Human\Male\HumanMale.m2,patch.MPQ,1,0,0,0,9,0,0,61472,0:0;0:10;1:1;2:1;3:1;4:1;5:1;7:2;13:1;15:2,NONE,NONE,0,HuM,NONE,NONE,0,NONE,NONE,cape-bound,Item\ObjectComponents\Cape\Custom_61472_Cape_Leather_A_02Blue.blp,0,NONE,Ready,23454,54.7971,156.3671,
item:cape:61473,item:cape:61473,items,61473,0,-1,-1,cape,2,Item\ObjectComponents\Cape\Custom_61473_Cape_Leather_A_02Blue.blp,Item\ObjectComponents\Cape\Custom_61473_Cape_Leather_A_02Blue.blp,patch-4.MPQ,true,Item\ObjectComponents\Cape\Custom_61473_Cape_Leather_A_02Blue.blp,patch-4.MPQ,false,NONE,,Character\Human\Male\HumanMale.m2,patch.MPQ,1,0,0,0,9,0,0,61473,0:0;0:10;1:1;2:1;3:1;4:1;5:1;7:2;13:1;15:2,NONE,NONE,0,HuM,NONE,NONE,0,NONE,NONE,cape-bound,Item\ObjectComponents\Cape\Custom_61473_Cape_Leather_A_02Blue.blp,0,NONE,Ready,23454,53.4477,155.4135,
item:cape:61478,item:cape:61478,items,61478,0,-1,-1,cape,2,Item\ObjectComponents\Cape\Custom_61478_Cape_Mage_A_01Green.blp,Item\ObjectComponents\Cape\Custom_61478_Cape_Mage_A_01Green.blp,patch-4.MPQ,true,Item\ObjectComponents\Cape\Custom_61478_Cape_Mage_A_01Green.blp,patch-4.MPQ,false,NONE,,Character\Human\Male\HumanMale.m2,patch.MPQ,1,0,0,0,9,0,0,61478,0:0;0:10;1:1;2:1;3:1;4:1;5:1;7:2;13:1;15:2,NONE,NONE,0,HuM,NONE,NONE,0,NONE,NONE,cape-bound,Item\ObjectComponents\Cape\Custom_61478_Cape_Mage_A_01Green.blp,0,NONE,Ready,23454,47.4607,156.5703,
item:cape:61479,item:cape:61479,items,61479,0,-1,-1,cape,2,Item\ObjectComponents\Cape\Custom_61479_Cape_Mage_A_01Green.blp,Item\ObjectComponents\Cape\Custom_61479_Cape_Mage_A_01Green.blp,patch-4.MPQ,true,Item\ObjectComponents\Cape\Custom_61479_Cape_Mage_A_01Green.blp,patch-4.MPQ,false,NONE,,Character\Human\Male\HumanMale.m2,patch.MPQ,1,0,0,0,9,0,0,61479,0:0;0:10;1:1;2:1;3:1;4:1;5:1;7:2;13:1;15:2,NONE,NONE,0,HuM,NONE,NONE,0,NONE,NONE,cape-bound,Item\ObjectComponents\Cape\Custom_61479_Cape_Mage_A_01Green.blp,0,NONE,Ready,23454,47.0973,152.5482,
item:cape:61488,item:cape:61488,items,61488,0,-1,-1,cape,2,Item\ObjectComponents\Cape\Custom_61488_Cape_Cloth_B_01Blue.blp,Item\ObjectComponents\Cape\Custom_61488_Cape_Cloth_B_01Blue.blp,patch-4.MPQ,true,Item\ObjectComponents\Cape\Custom_61488_Cape_Cloth_B_01Blue.blp,patch-4.MPQ,false,NONE,,Character\Human\Male\HumanMale.m2,patch.MPQ,1,0,0,0,9,0,0,61488,0:0;0:10;1:1;2:1;3:1;4:1;5:1;7:2;13:1;15:2,NONE,NONE,0,HuM,NONE,NONE,0,NONE,NONE,cape-bound,Item\ObjectComponents\Cape\Custom_61488_Cape_Cloth_B_01Blue.blp,0,NONE,Ready,23454,49.2494,165.2397,
item:cape:61489,item:cape:61489,items,61489,0,-1,-1,cape,2,Item\ObjectComponents\Cape\Custom_61489_Cape_Cloth_B_01Blue.blp,Item\ObjectComponents\Cape\Custom_61489_Cape_Cloth_B_01Blue.blp,patch-4.MPQ,true,Item\ObjectComponents\Cape\Custom_61489_Cape_Cloth_B_01Blue.blp,patch-4.MPQ,false,NONE,,Character\Human\Male\HumanMale.m2,patch.MPQ,1,0,0,0,9,0,0,61489,0:0;0:10;1:1;2:1;3:1;4:1;5:1;7:2;13:1;15:2,NONE,NONE,0,HuM,NONE,NONE,0,NONE,NONE,cape-bound,Item\ObjectComponents\Cape\Custom_61489_Cape_Cloth_B_01Blue.blp,0,NONE,Ready,23454,50.5584,163.1464,
item:cape:61490,item:cape:61490,items,61490,0,-1,-1,cape,2,Item\ObjectComponents\Cape\Custom_61490_Cape_Cloth_B_01Blue.blp,Item\ObjectComponents\Cape\Custom_61490_Cape_Cloth_B_01Blue.blp,patch-4.MPQ,true,Item\ObjectComponents\Cape\Custom_61490_Cape_Cloth_B_01Blue.blp,patch-4.MPQ,false,NONE,,Character\Human\Male\HumanMale.m2,patch.MPQ,1,0,0,0,9,0,0,61490,0:0;0:10;1:1;2:1;3:1;4:1;5:1;7:2;13:1;15:2,NONE,NONE,0,HuM,NONE,NONE,0,NONE,NONE,cape-bound,Item\ObjectComponents\Cape\Custom_61490_Cape_Cloth_B_01Blue.blp,0,NONE,Ready,23454,50.7892,154.6929,
