name	security	runnable	has_subcommands
list maps	SEC_TICKETMASTER	1	0
list movegens	SEC_TICKETMASTER	1	0
list hostilerefs	SEC_TICKETMASTER	1	0
list threat	SEC_TICKETMASTER	1	0
list visibleguids	SEC_TICKETMASTER	1	0
lookup	SEC_MODERATOR	0	1
lookup account	SEC_GAMEMASTER	0	1
lookup account email	SEC_BASIC_ADMIN	1	0
lookup account ip	SEC_BASIC_ADMIN	1	0
lookup account iponline	SEC_BASIC_ADMIN	1	0
lookup account name	SEC_GAMEMASTER	1	0
lookup area	SEC_TICKETMASTER	1	0
lookup creature	SEC_TICKETMASTER	1	0
lookup creaturemodel	SEC_TICKETMASTER	1	0
lookup event	SEC_TICKETMASTER	1	0
lookup faction	SEC_TICKETMASTER	1	0
lookup item	SEC_TICKETMASTER	1	0
lookup itemset	SEC_TICKETMASTER	1	0
lookup object	SEC_TICKETMASTER	1	0
lookup quest	SEC_TICKETMASTER	1	0
lookup player	SEC_MODERATOR	0	1
lookup player account	SEC_GAMEMASTER	1	0
lookup player email	SEC_BASIC_ADMIN	1	0
lookup player ip	SEC_BASIC_ADMIN	1	0
lookup player name	SEC_MODERATOR	1	0
lookup player character	SEC_TICKETMASTER	1	0
lookup pool	SEC_TICKETMASTER	1	0
lookup skill	SEC_TICKETMASTER	1	0
lookup spell	SEC_TICKETMASTER	1	0
lookup sound	SEC_TICKETMASTER	1	0
lookup taxinode	SEC_TICKETMASTER	1	0
lookup tele	SEC_TICKETMASTER	1	0
lookup guild	SEC_MODERATOR	1	0
modify	SEC_TICKETMASTER	0	1
modify hp	SEC_GAMEMASTER	1	0
modify mana	SEC_GAMEMASTER	1	0
modify rage	SEC_GAMEMASTER	1	0
modify energy	SEC_GAMEMASTER	1	0
modify money	SEC_BASIC_ADMIN	1	0
modify speed	SEC_TICKETMASTER	1	0
modify swim	SEC_TICKETMASTER	1	0
modify scale	SEC_GAMEMASTER	1	0
modify bwalk	SEC_TICKETMASTER	1	0
modify fly	SEC_TICKETMASTER	1	0
modify aspeed	SEC_TICKETMASTER	1	0
modify faction	SEC_GAMEMASTER	1	0
modify tp	SEC_BASIC_ADMIN	1	0
modify mount	SEC_GAMEMASTER	1	0
modify honor	SEC_BASIC_ADMIN	1	0
modify rep	SEC_BASIC_ADMIN	1	0
modify drunk	SEC_TICKETMASTER	1	0
modify exhaustion	SEC_GAMEMASTER	1	0
modify emotestate	SEC_GAMEMASTER	1	0
modify morph	SEC_GAMEMASTER	1	0
modify gender	SEC_GAMEMASTER	1	0
modify strength	SEC_BASIC_ADMIN	1	0
modify agility	SEC_BASIC_ADMIN	1	0
modify stamina	SEC_BASIC_ADMIN	1	0
modify intellect	SEC_BASIC_ADMIN	1	0
modify spirit	SEC_BASIC_ADMIN	1	0
modify armor	SEC_BASIC_ADMIN	1	0
modify holy	SEC_BASIC_ADMIN	1	0
modify fire	SEC_BASIC_ADMIN	1	0
modify nature	SEC_BASIC_ADMIN	1	0
modify frost	SEC_BASIC_ADMIN	1	0
modify shadow	SEC_BASIC_ADMIN	1	0
modify arcane	SEC_BASIC_ADMIN	1	0
modify ap	SEC_BASIC_ADMIN	1	0
modify rangeap	SEC_BASIC_ADMIN	1	0
modify spellpower	SEC_BASIC_ADMIN	1	0
modify crit	SEC_BASIC_ADMIN	1	0
modify rangecrit	SEC_BASIC_ADMIN	1	0
modify spellcrit	SEC_BASIC_ADMIN	1	0
modify mainspeed	SEC_BASIC_ADMIN	1	0
modify offspeed	SEC_BASIC_ADMIN	1	0
modify rangespeed	SEC_BASIC_ADMIN	1	0
modify castspeed	SEC_BASIC_ADMIN	1	0
modify block	SEC_BASIC_ADMIN	1	0
modify dodge	SEC_BASIC_ADMIN	1	0
modify parry	SEC_BASIC_ADMIN	1	0
modify combreach	SEC_BASIC_ADMIN	1	0
modify boundrad	SEC_BASIC_ADMIN	1	0
modify xprate	SEC_PLAYER	1	0
modify hairstyle	SEC_BASIC_ADMIN	1	0
modify haircolor	SEC_BASIC_ADMIN	1	0
modify skincolor	SEC_BASIC_ADMIN	1	0
modify accessories	SEC_BASIC_ADMIN	1	0
npc	SEC_MODERATOR	0	1
npc additem	SEC_DEVELOPER	1	0
npc addweapon	SEC_GAMEMASTER	1	0
npc aiinfo	SEC_MODERATOR	1	0
npc allowmove	SEC_GAMEMASTER	1	0
npc allowattack	SEC_GAMEMASTER	1	0
npc despawn	SEC_GAMEMASTER	1	0
npc delitem	SEC_DEVELOPER	1	0
npc evade	SEC_GAMEMASTER	1	0
npc follow	SEC_GAMEMASTER	1	0
npc unfollow	SEC_GAMEMASTER	1	0
npc info	SEC_MODERATOR	1	0
npc move	SEC_GAMEMASTER	1	0
npc reloadspawn	SEC_DEVELOPER	1	0
npc playemote	SEC_TICKETMASTER	1	0
npc say	SEC_TICKETMASTER	1	0
npc summon	SEC_GAMEMASTER	1	0
npc textemote	SEC_TICKETMASTER	1	0
npc whisper	SEC_TICKETMASTER	1	0
npc yell	SEC_TICKETMASTER	1	0
npc tame	SEC_GAMEMASTER	1	0
npc spawn	SEC_MODERATOR	0	1
npc spawn add	SEC_DEVELOPER	1	0
npc spawn addentry	SEC_DEVELOPER	1	0
npc spawn delete	SEC_DEVELOPER	1	0
npc spawn info	SEC_MODERATOR	1	0
